No.	X1	X2	X3	X4	X5	Y
1	564	676	665	675	627	623
2	676	665	675	627	623	700
3	665	675	627	623	700	649
4	675	627	623	700	649	679
5	627	623	700	649	679	637
6	623	700	649	679	637	693
7	700	649	679	637	693	658
8	649	679	637	693	658	628
9	679	637	693	658	628	627
10	637	693	658	628	627	659
11	693	658	628	627	659	667
12	658	628	627	659	667	659
13	628	627	659	667	659	601
14	627	659	667	659	601	641
15	659	667	659	601	641	696
16	667	659	601	641	696	646
17	659	601	641	696	646	578
18	601	641	696	646	578	680
19	641	696	646	578	680	662
20	696	646	578	680	662	645
21	646	578	680	662	645	684
22	578	680	662	645	684	526
23	680	662	645	684	526	657
24	662	645	684	526	657	644
25	645	684	526	657	644	671
26	684	526	657	644	671	519
27	526	657	644	671	519	687
28	657	644	671	519	687	653
29	644	671	519	687	653	696
30	671	519	687	653	696	648
31	519	687	653	696	648	632
32	687	653	696	648	632	685
33	653	696	648	632	685	642
34	696	648	632	685	642	732
35	648	632	685	642	732	580
36	632	685	642	732	580	679
37	685	642	732	580	679	635
38	642	732	580	679	635	684
39	732	580	679	635	684	617
40	580	679	635	684	617	815
41	679	635	684	617	815	627
42	635	684	617	815	627	678
43	684	617	815	627	678	630
44	617	815	627	678	630	697
45	815	627	678	630	697	629
46	627	678	630	697	629	633
47	678	630	697	629	633	708
48	630	697	629	633	708	716
49	697	629	633	708	716	539
50	629	633	708	716	539	629
51	633	708	716	539	629	539
52	708	716	539	629	539	670
53	716	539	629	539	670	506
54	539	629	539	670	506	540
55	629	539	670	506	540	504
56	539	670	506	540	504	673
57	670	506	540	504	673	532
58	506	540	504	673	532	492
59	540	504	673	532	492	544
60	504	673	532	492	544	577
61	673	532	492	544	577	666
62	532	492	544	577	666	504
63	492	544	577	666	504	543
64	544	577	666	504	543	525
65	577	666	504	543	525	599
66	666	504	543	525	599	541
67	504	543	525	599	541	510
68	543	525	599	541	510	679
69	525	599	541	510	679	533
70	599	541	510	679	533	543
71	541	510	679	533	543	500
72	510	679	533	543	500	538
73	679	533	543	500	538	582
74	533	543	500	538	582	669
75	543	500	538	582	669	504
76	500	538	582	669	504	543
77	538	582	669	504	543	510
78	582	669	504	543	510	509
79	669	504	543	510	509	535
80	504	543	510	509	535	517
81	543	510	509	535	517	703
82	510	509	535	517	703	538
83	509	535	517	703	538	547
84	535	517	703	538	547	503
85	517	703	538	547	503	553
86	703	538	547	503	553	511
87	538	547	503	553	511	547
88	547	503	553	511	547	519
89	503	553	511	547	519	555
90	553	511	547	519	555	527
91	511	547	519	555	527	499
92	547	519	555	527	499	539
93	519	555	527	499	539	508
94	555	527	499	539	508	540
95	527	499	539	508	540	507
96	499	539	508	540	507	481
97	539	508	540	507	481	546
98	508	540	507	481	546	509
99	540	507	481	546	509	549
100	507	481	546	509	549	515
101	481	546	509	549	515	508
102	546	509	549	515	508	538
103	509	549	515	508	538	506
104	549	515	508	538	506	676
105	515	508	538	506	676	522
106	508	538	506	676	522	545
107	538	506	676	522	545	510
108	506	676	522	545	510	656
109	676	522	545	510	656	524
110	522	545	510	656	524	552
111	545	510	656	524	552	527
112	510	656	524	552	527	548
113	656	524	552	527	548	528
114	524	552	527	548	528	556
115	552	527	548	528	556	516
116	527	548	528	556	516	552
117	548	528	556	516	552	516
118	528	556	516	552	516	553
119	556	516	552	516	553	516
120	516	552	516	553	516	555
121	552	516	553	516	555	512
122	516	553	516	555	512	476
123	553	516	555	512	476	481
124	516	555	512	476	481	514
125	555	512	476	481	514	545
126	512	476	481	514	545	521
127	476	481	514	545	521	552
128	481	514	545	521	552	549
129	514	545	521	552	549	510
130	545	521	552	549	510	557
131	521	552	549	510	557	514
132	552	549	510	557	514	503
133	549	510	557	514	503	535
134	510	557	514	503	535	515
135	557	514	503	535	515	538
136	514	503	535	515	538	497
137	503	535	515	538	497	677
138	535	515	538	497	677	513
139	515	538	497	677	513	544
140	538	497	677	513	544	518
141	497	677	513	544	518	515
142	677	513	544	518	515	542
143	513	544	518	515	542	503
144	544	518	515	542	503	668
145	518	515	542	503	668	475
146	515	542	503	668	475	552
147	542	503	668	475	552	518
148	503	668	475	552	518	556
149	668	475	552	518	556	686
150	475	552	518	556	686	658
151	552	518	556	686	658	529
152	518	556	686	658	529	535
153	556	686	658	529	535	515
154	686	658	529	535	515	541
155	658	529	535	515	541	516
156	529	535	515	541	516	536
157	535	515	541	516	536	513
158	515	541	516	536	513	375
159	541	516	536	513	375	377
160	516	536	513	375	377	535
161	536	513	375	377	535	514
162	513	375	377	535	514	532
163	375	377	535	514	532	381
164	377	535	514	532	381	381
165	535	514	532	381	381	514
166	514	532	381	381	514	537
167	532	381	381	514	537	512
168	381	381	514	537	512	534
169	381	514	537	512	534	539
170	514	537	512	534	539	513
171	537	512	534	539	513	536
172	512	534	539	513	536	512
173	534	539	513	536	512	541
174	539	513	536	512	541	516
175	513	536	512	541	516	539
176	536	512	541	516	539	520
177	512	541	516	539	520	502
178	541	516	539	520	502	647
179	516	539	520	502	647	537
180	539	520	502	647	537	510
181	520	502	647	537	510	548
182	502	647	537	510	548	543
183	647	537	510	548	543	519
184	537	510	548	543	519	540
185	510	548	543	519	540	645
186	548	543	519	540	645	498
187	543	519	540	645	498	539
188	519	540	645	498	539	515
189	540	645	498	539	515	538
190	645	498	539	515	538	510
191	498	539	515	538	510	545
192	539	515	538	510	545	511
193	515	538	510	545	511	538
194	538	510	545	511	538	513
195	510	545	511	538	513	549
