No.	X1	X2	X3	X4	Y
1	379	506	505	509	399
2	506	505	509	399	458
3	505	509	399	458	509
4	509	399	458	509	469
5	399	458	509	469	516
6	458	509	469	516	484
7	509	469	516	484	521
8	469	516	484	521	500
9	516	484	521	500	612
10	484	521	500	612	392
11	521	500	612	392	498
12	500	612	392	498	511
13	612	392	498	511	522
14	392	498	511	522	315
15	498	511	522	315	489
16	511	522	315	489	518
17	522	315	489	518	482
18	315	489	518	482	597
19	489	518	482	597	597
20	518	482	597	597	496
21	482	597	597	496	487
22	597	597	496	487	617
23	597	496	487	617	379
24	496	487	617	379	482
25	487	617	379	482	518
26	617	379	482	518	488
27	379	482	518	488	428
28	482	518	488	428	604
29	518	488	428	604	498
30	488	428	604	498	520
31	428	604	498	520	483
32	604	498	520	483	493
33	498	520	483	493	517
34	520	483	493	517	505
35	483	493	517	505	735
36	493	517	505	735	378
37	517	505	735	378	523
38	505	735	378	523	476
39	735	378	523	476	530
40	378	523	476	530	388
41	523	476	530	388	624
42	476	530	388	624	480
43	530	388	624	480	529
44	388	624	480	529	487
45	624	480	529	487	622
46	480	529	487	622	497
47	529	487	622	497	482
48	487	622	497	482	740
49	622	497	482	740	591
50	497	482	740	591	416
51	482	740	591	416	481
52	740	591	416	481	419
53	591	416	481	419	528
54	416	481	419	528	377
55	481	419	528	377	423
56	419	528	377	423	375
57	528	377	423	375	375
58	377	423	375	375	405
59	423	375	375	405	375
60	375	375	405	375	409
61	375	405	375	409	379
62	405	375	409	379	511
63	375	409	379	511	373
64	409	379	511	373	393
65	379	511	373	393	382
66	511	373	393	382	389
67	373	393	382	389	416
68	393	382	389	416	381
69	382	389	416	381	514
70	389	416	381	514	375
71	416	381	514	375	412
72	381	514	375	412	383
73	514	375	412	383	411
74	375	412	383	411	303
75	412	383	411	303	511
76	383	411	303	511	395
77	411	303	511	395	415
78	303	511	395	415	377
79	511	395	415	377	383
80	395	415	377	383	416
81	415	377	383	416	382
82	377	383	416	382	621
83	383	416	382	621	293
84	416	382	621	293	415
85	382	621	293	415	385
86	621	293	415	385	417
87	293	415	385	417	392
88	415	385	417	392	412
89	385	417	392	412	384
90	417	392	412	384	422
91	392	412	384	422	396
92	412	384	422	396	384
93	384	422	396	384	420
94	422	396	384	420	384
95	396	384	420	384	418
96	384	420	384	418	304
97	420	384	418	304	305
98	384	418	304	305	419
99	418	304	305	419	382
100	304	305	419	382	423
101	305	419	382	423	382
102	419	382	423	382	387
103	382	423	382	387	411
104	423	382	387	411	383
105	382	387	411	383	513
106	387	411	383	513	386
107	411	383	513	386	407
108	383	513	386	407	385
109	513	386	407	385	498
110	386	407	385	498	300
111	407	385	498	300	414
112	385	498	300	414	392
113	498	300	414	392	413
114	300	414	392	413	387
115	414	392	413	387	415
116	392	413	387	415	386
117	413	387	415	386	416
118	387	415	386	416	384
119	415	386	416	384	426
120	386	416	384	426	384
121	416	384	426	384	416
122	384	426	384	416	386
123	426	384	416	386	325
124	384	416	386	325	324
125	416	386	325	324	384
126	386	325	324	384	420
127	325	324	384	420	385
128	324	384	420	385	409
129	384	420	385	409	418
130	420	385	409	418	383
131	385	409	418	383	420
132	409	418	383	420	391
133	418	383	420	391	380
134	383	420	391	380	409
135	420	391	380	409	387
136	391	380	409	387	409
137	380	409	387	409	306
138	409	387	409	306	508
139	387	409	306	508	385
140	409	306	508	385	414
141	306	508	385	414	389
142	508	385	414	389	384
143	385	414	389	384	418
144	414	389	384	418	387
145	389	384	418	387	504
146	384	418	387	504	314
147	418	387	504	314	414
148	387	504	314	414	386
149	504	314	414	386	417
150	314	414	386	417	525
151	414	386	417	525	495
152	386	417	525	495	398
153	417	525	495	398	405
154	525	495	398	405	384
155	495	398	405	384	412
156	398	405	384	412	375
157	405	384	412	375	404
158	384	412	375	404	372
159	412	375	404	372	304
160	375	404	372	304	218
161	404	372	304	218	404
162	372	304	218	404	380
163	304	218	404	380	371
164	218	404	380	371	318
165	404	380	371	318	320
166	380	371	318	320	375
167	371	318	320	375	401
168	318	320	375	401	371
169	320	375	401	371	395
170	375	401	371	395	401
171	401	371	395	401	378
172	371	395	401	378	401
173	395	401	378	401	372
174	401	378	401	372	404
175	378	401	372	404	372
176	401	372	404	372	403
177	372	404	372	403	378
178	404	372	403	378	306
179	372	403	378	306	485
180	403	378	306	485	409
181	378	306	485	409	385
182	306	485	409	385	403
183	485	409	385	403	409
184	409	385	403	409	380
185	385	403	409	380	404
186	403	409	380	404	474
187	409	380	404	474	305
188	380	404	474	305	410
189	404	474	305	410	381
190	474	305	410	381	404
191	305	410	381	404	384
192	410	381	404	384	405
193	381	404	384	405	374
194	404	384	405	374	406
195	384	405	374	406	382
196	405	374	406	382	410
