No.	X1	X2	X3	X4	Y
1	564	676	665	675	627
2	676	665	675	627	623
3	665	675	627	623	700
4	675	627	623	700	649
5	627	623	700	649	679
6	623	700	649	679	637
7	700	649	679	637	693
8	649	679	637	693	658
9	679	637	693	658	628
10	637	693	658	628	627
11	693	658	628	627	659
12	658	628	627	659	667
13	628	627	659	667	659
14	627	659	667	659	601
15	659	667	659	601	641
16	667	659	601	641	696
17	659	601	641	696	646
18	601	641	696	646	578
19	641	696	646	578	680
20	696	646	578	680	662
21	646	578	680	662	645
22	578	680	662	645	684
23	680	662	645	684	526
24	662	645	684	526	657
25	645	684	526	657	644
26	684	526	657	644	671
27	526	657	644	671	519
28	657	644	671	519	687
29	644	671	519	687	653
30	671	519	687	653	696
31	519	687	653	696	648
32	687	653	696	648	632
33	653	696	648	632	685
34	696	648	632	685	642
35	648	632	685	642	732
36	632	685	642	732	580
37	685	642	732	580	679
38	642	732	580	679	635
39	732	580	679	635	684
40	580	679	635	684	617
41	679	635	684	617	815
42	635	684	617	815	627
43	684	617	815	627	678
44	617	815	627	678	630
45	815	627	678	630	697
46	627	678	630	697	629
47	678	630	697	629	633
48	630	697	629	633	708
49	697	629	633	708	716
50	629	633	708	716	539
51	633	708	716	539	629
52	708	716	539	629	539
53	716	539	629	539	670
54	539	629	539	670	506
55	629	539	670	506	540
56	539	670	506	540	504
57	670	506	540	504	673
58	506	540	504	673	532
59	540	504	673	532	492
60	504	673	532	492	544
61	673	532	492	544	577
62	532	492	544	577	666
63	492	544	577	666	504
64	544	577	666	504	543
65	577	666	504	543	525
66	666	504	543	525	599
67	504	543	525	599	541
68	543	525	599	541	510
69	525	599	541	510	679
70	599	541	510	679	533
71	541	510	679	533	543
72	510	679	533	543	500
73	679	533	543	500	538
74	533	543	500	538	582
75	543	500	538	582	669
76	500	538	582	669	504
77	538	582	669	504	543
78	582	669	504	543	510
79	669	504	543	510	509
80	504	543	510	509	535
81	543	510	509	535	517
82	510	509	535	517	703
83	509	535	517	703	538
84	535	517	703	538	547
85	517	703	538	547	503
86	703	538	547	503	553
87	538	547	503	553	511
88	547	503	553	511	547
89	503	553	511	547	519
90	553	511	547	519	555
91	511	547	519	555	527
92	547	519	555	527	499
93	519	555	527	499	539
94	555	527	499	539	508
95	527	499	539	508	540
96	499	539	508	540	507
97	539	508	540	507	481
98	508	540	507	481	546
99	540	507	481	546	509
100	507	481	546	509	549
101	481	546	509	549	515
102	546	509	549	515	508
103	509	549	515	508	538
104	549	515	508	538	506
105	515	508	538	506	676
106	508	538	506	676	522
107	538	506	676	522	545
108	506	676	522	545	510
109	676	522	545	510	656
110	522	545	510	656	524
111	545	510	656	524	552
112	510	656	524	552	527
113	656	524	552	527	548
114	524	552	527	548	528
115	552	527	548	528	556
116	527	548	528	556	516
117	548	528	556	516	552
118	528	556	516	552	516
119	556	516	552	516	553
120	516	552	516	553	516
121	552	516	553	516	555
122	516	553	516	555	512
123	553	516	555	512	476
124	516	555	512	476	481
125	555	512	476	481	514
126	512	476	481	514	545
127	476	481	514	545	521
128	481	514	545	521	552
129	514	545	521	552	549
130	545	521	552	549	510
131	521	552	549	510	557
132	552	549	510	557	514
133	549	510	557	514	503
134	510	557	514	503	535
135	557	514	503	535	515
136	514	503	535	515	538
137	503	535	515	538	497
138	535	515	538	497	677
139	515	538	497	677	513
140	538	497	677	513	544
141	497	677	513	544	518
142	677	513	544	518	515
143	513	544	518	515	542
144	544	518	515	542	503
145	518	515	542	503	668
146	515	542	503	668	475
147	542	503	668	475	552
148	503	668	475	552	518
149	668	475	552	518	556
